Types,Items,ingredient name,quantity,measure,food,weight,food category,image
Tender Grilled Short Ribs Recipe,0,2 pounds boneless short ribs or 4 pounds English-cut short ribs (see note above),2.0,pound,boneless short ribs,907.18474,meats,https://www.edamam.com/food-img/4ed/4ed26a39971cafa1784d9fc02ad1b92d.jpg
Tender Grilled Short Ribs Recipe,1,Kosher salt and freshly ground black pepper,0.0,,Kosher salt,5.4431084400000005,Condiments and sauces,https://www.edamam.com/food-img/694/6943ea510918c6025795e8dc6e6eaaeb.jpg
Tender Grilled Short Ribs Recipe,2,Kosher salt and freshly ground black pepper,0.0,,black pepper,2.7215542200000002,Condiments and sauces,https://www.edamam.com/food-img/c6e/c6e5c3bd8d3bc15175d9766971a4d1b2.jpg
Grilled Ribs With Salt & Pepper,0,"1/2 pound pork baby back ribs, cut into individual ribs",0.5,pound,pork baby back ribs,226.796185,meats,https://www.edamam.com/food-img/68f/68fc1838757646a9c37d82e419a0e57e.jpg
Grilled Ribs With Salt & Pepper,1,"Kosher salt and freshly ground black pepper, to taste",0.0,,Kosher salt,1.3607771100000001,Condiments and sauces,https://www.edamam.com/food-img/694/6943ea510918c6025795e8dc6e6eaaeb.jpg
Grilled Ribs With Salt & Pepper,2,"Kosher salt and freshly ground black pepper, to taste",0.0,,black pepper,0.6803885550000001,Condiments and sauces,https://www.edamam.com/food-img/c6e/c6e5c3bd8d3bc15175d9766971a4d1b2.jpg
Grilled Ribs With Salt & Pepper,3,"White rice, for serving",0.0,,White rice,0.0,grains,https://www.edamam.com/food-img/0fc/0fc9fa8a3e0276198d75b2e259068f8a.jpg
Sticky glazed ribs,0,"2kg spare ribs, cut into individual ribs",2.0,kilogram,ribs,2000.0,meats,https://www.edamam.com/food-img/e54/e548d7ddfea41f3ffa55cb712ae4e4a8.jpg
Sticky glazed ribs,1,2 tbsp barbecue spice mix,2.0,tablespoon,spice mix,5.4,Condiments and sauces,https://www.edamam.com/food-img/89b/89b37a04e46e052671d73addcb84aa51.jpg
Sticky glazed ribs,2,150g tomato ketchup,150.0,gram,tomato ketchup,150.0,condiments and sauces,https://www.edamam.com/food-img/257/257207c446011b849001ae596390341c.jpeg
Sticky glazed ribs,3,140g chilli ketchup,140.0,gram,ketchup,140.0,condiments and sauces,https://www.edamam.com/food-img/257/257207c446011b849001ae596390341c.jpeg
Sticky glazed ribs,4,3 tbsp soy sauce,3.0,tablespoon,soy sauce,48.0,plant-based protein,https://www.edamam.com/food-img/f56/f562e461eb0618f367f538b836c17b82.jpg
Sticky glazed ribs,5,140g runny honey,140.0,gram,honey,140.0,sugar syrups,https://www.edamam.com/food-img/198/198c7b25c23b4235b4cc33818c7b335f.jpg
Sticky glazed ribs,6,3 tbsp teriyaki sauce,3.0,tablespoon,teriyaki sauce,54.0,canned soup,https://www.edamam.com/food-img/09e/09ea224087dca731115d8a7501e121aa.jpg
Sticky glazed ribs,7,4 tbsp bourbon whiskey,4.0,tablespoon,bourbon whiskey,55.599999999059975,liquors and cocktails,https://www.edamam.com/food-img/0ff/0ffe9f2bc332f9add8b904467a79f818.jpg
Beef Ribs,0,1/2 cup dark brown sugar,0.5,cup,dark brown sugar,72.5,sugars,https://www.edamam.com/food-img/8c6/8c6662bd73900645c6385b51a95d9b03.jpg
Beef Ribs,1,1/2 cup freshly ground black pepper,0.5,cup,black pepper,55.200000000933265,Condiments and sauces,https://www.edamam.com/food-img/c6e/c6e5c3bd8d3bc15175d9766971a4d1b2.jpg
Beef Ribs,2,1/2 cup paprika,0.5,cup,paprika,54.40000000091973,Condiments and sauces,https://www.edamam.com/food-img/474/474d63763b9d8b9da98c5f43a114648c.jpg
Beef Ribs,3,1/4 cup chili powder,0.25,cup,chili powder,32.000000000541,Condiments and sauces,https://www.edamam.com/food-img/e6f/e6f19043caefc23b5feda5520076617e.jpg
Beef Ribs,4,1/4 cup salt,0.25,cup,salt,73.0,Condiments and sauces,https://www.edamam.com/food-img/694/6943ea510918c6025795e8dc6e6eaaeb.jpg
Beef Ribs,5,1 tbsp. garlic powder,1.0,tablespoon,garlic powder,9.7,Condiments and sauces,https://www.edamam.com/food-img/5c3/5c3db1d5a1a16b1f0a74796f74dd5985.jpg
Beef Ribs,6,"2 slabs beef ribs, each about 3 lbs.",6.0,pound,beef ribs,2721.55422,meats,https://www.edamam.com/food-img/4ee/4ee5e269df3713d547e0419a00f055b7.jpg
Chicken-Fried Ribs,0,About 6 cups vegetable oil,6.0,cup,vegetable oil,1344.000000022723,Oils,https://www.edamam.com/food-img/6e5/6e51a63a6300a8ea1b4c4cc68dfaba33.jpg
Chicken-Fried Ribs,1,"2 racks baby back ribs (about 1 pound each), cut into ribs",1.0,rib,ribs,108.0,meats,https://www.edamam.com/food-img/e54/e548d7ddfea41f3ffa55cb712ae4e4a8.jpg
Chicken-Fried Ribs,2,1/3 cup all-purpose flour,0.3333333333333333,cup,all-purpose flour,41.666666666666664,grains,https://www.edamam.com/food-img/368/368077bbcab62f862a8c766a56ea5dd1.jpg
Chicken-Fried Ribs,3,"3 large eggs, lightly beaten",3.0,<unit>,eggs,150.0,Eggs,https://www.edamam.com/food-img/a7e/a7ec7c337cb47c6550b3b118e357f077.jpg
Chicken-Fried Ribs,4,1 1/2 to 1 3/4 cups panko (Japanese bread crumbs),1.625,cup,panko,97.5,grains,
Chicken-Fried Ribs,5,1/2 cup sour cream,0.5,cup,sour cream,115.0,Dairy,https://www.edamam.com/food-img/f9d/f9d6183267b041b0aff9a10b89c9c15f.jpg
Chicken-Fried Ribs,6,2 tablespoons mayonnaise,2.0,tablespoon,mayonnaise,28.8749999995118,condiments and sauces,https://www.edamam.com/food-img/577/577308a0422357885c94cc9b5f1f1862.jpg
Chicken-Fried Ribs,7,"1 Kirby cucumber, coarsely grated",1.0,<unit>,cucumber,301.0,vegetables,https://www.edamam.com/food-img/501/5015da0e5fc2b384696b3d949aefef86.jpg
